Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS14_5yr_C17002001,ACS14_5yr_C17002002,ACS14_5yr_C17002003,ACS14_5yr_C17002004,ACS14_5yr_C17002005,ACS14_5yr_C17002006,ACS14_5yr_C17002007,ACS14_5yr_C17002008,ACS14_5yr_C17002001s,ACS14_5yr_C17002002s,ACS14_5yr_C17002003s,ACS14_5yr_C17002004s,ACS14_5yr_C17002005s,ACS14_5yr_C17002006s,ACS14_5yr_C17002007s,ACS14_5yr_C17002008s
"06075021200","14000US06075021200","Census Tract 212, San Francisco County, California","Census Tract 212, San Francisco County, California","ca","140","00","ACSSF","0009065",,,,,"06","075",,,,"021200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2832,130,92,1,90,16,51,2452,123.030303030303,33.9393939393939,28.4848484848484,1.21212121212121,46.060606060606,10.9090909090909,46.060606060606,149.696969696969
"06075021300","14000US06075021300","Census Tract 213, San Francisco County, California","Census Tract 213, San Francisco County, California","ca","140","00","ACSSF","0009066",,,,,"06","075",,,,"021300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2626,29,55,123,33,34,33,2319,137.575757575757,18.1818181818181,27.8787878787878,69.6969696969697,27.2727272727272,18.1818181818181,21.2121212121212,142.424242424242
"06075021400","14000US06075021400","Census Tract 214, San Francisco County, California","Census Tract 214, San Francisco County, California","ca","140","00","ACSSF","0009067",,,,,"06","075",,,,"021400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3459,49,69,32,42,22,29,3216,172.727272727272,23.030303030303,24.8484848484848,27.8787878787878,22.4242424242424,13.3333333333333,15.1515151515151,181.818181818181
"06075021500","14000US06075021500","Census Tract 215, San Francisco County, California","Census Tract 215, San Francisco County, California","ca","140","00","ACSSF","0009068",,,,,"06","075",,,,"021500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5129,182,143,0,26,252,15,4511,275.757575757575,75.7575757575757,72.1212121212121,7.27272727272727,25.4545454545454,87.8787878787879,21.8181818181818,304.848484848484
"06075021600","14000US06075021600","Census Tract 216, San Francisco County, California","Census Tract 216, San Francisco County, California","ca","140","00","ACSSF","0009069",,,,,"06","075",,,,"021600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4335,99,161,80,87,130,14,3764,322.424242424242,40,65.4545454545454,52.7272727272727,53.9393939393939,62.4242424242424,14.5454545454545,344.848484848484
"06075021700","14000US06075021700","Census Tract 217, San Francisco County, California","Census Tract 217, San Francisco County, California","ca","140","00","ACSSF","0009070",,,,,"06","075",,,,"021700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4079,148,258,30,68,130,38,3407,175.757575757575,75.1515151515151,89.6969696969697,16.9696969696969,32.7272727272727,44.8484848484848,29.0909090909091,221.818181818181
"06075021800","14000US06075021800","Census Tract 218, San Francisco County, California","Census Tract 218, San Francisco County, California","ca","140","00","ACSSF","0009071",,,,,"06","075",,,,"021800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4238,149,136,42,92,167,44,3608,147.878787878787,56.9696969696969,59.3939393939394,21.8181818181818,40.6060606060606,64.8484848484848,21.8181818181818,163.636363636363
"06075022600","14000US06075022600","Census Tract 226, San Francisco County, California","Census Tract 226, San Francisco County, California","ca","140","00","ACSSF","0009072",,,,,"06","075",,,,"022600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,32,8,32,27,5,30,1732,99.3939393939394,16.3636363636363,6.06060606060606,17.5757575757575,12.1212121212121,5.45454545454545,17.5757575757575,98.1818181818182
"06075022702","14000US06075022702","Census Tract 227.02, San Francisco County, California","Census Tract 227.02, San Francisco County, California","ca","140","00","ACSSF","0009073",,,,,"06","075",,,,"022702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2249,89,23,0,0,28,8,2101,115.757575757575,44.2424242424242,15.1515151515151,7.27272727272727,7.27272727272727,12.7272727272727,6.66666666666666,123.636363636363
"06075022704","14000US06075022704","Census Tract 227.04, San Francisco County, California","Census Tract 227.04, San Francisco County, California","ca","140","00","ACSSF","0009074",,,,,"06","075",,,,"022704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3314,50,78,90,32,37,22,3005,122.424242424242,20,29.6969696969697,42.4242424242424,24.2424242424242,28.4848484848484,18.7878787878787,140
