Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,ACS09_5yr_C17002001,ACS09_5yr_C17002002,ACS09_5yr_C17002003,ACS09_5yr_C17002004,ACS09_5yr_C17002005,ACS09_5yr_C17002006,ACS09_5yr_C17002007,ACS09_5yr_C17002008,ACS09_5yr_C17002001s,ACS09_5yr_C17002002s,ACS09_5yr_C17002003s,ACS09_5yr_C17002004s,ACS09_5yr_C17002005s,ACS09_5yr_C17002006s,ACS09_5yr_C17002007s,ACS09_5yr_C17002008s
"06075031100","14000US06075031100","Census Tract 311, San Francisco County, California","Census Tract 311, San Francisco County, California","ca","140","00","ACSSF","0018926",,,,,"06","075",,,,"031100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7218,97,345,223,132,201,279,5941,262.424242424242,51.5151515151515,161.818181818181,112.121212121212,67.8787878787878,129.696969696969,166.666666666666,341.212121212121
"06075031200","14000US06075031200","Census Tract 312, San Francisco County, California","Census Tract 312, San Francisco County, California","ca","140","00","ACSSF","0018927",,,,,"06","075",,,,"031200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9215,277,567,346,1077,346,200,6402,529.090909090909,150.90909090909,218.787878787878,233.333333333333,400.60606060606,201.212121212121,171.515151515151,618.787878787878
"06075031300","14000US06075031300","Census Tract 313, San Francisco County, California","Census Tract 313, San Francisco County, California","ca","140","00","ACSSF","0018928",,,,,"06","075",,,,"031300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9157,723,472,94,137,584,88,7059,451.515151515151,213.333333333333,135.151515151515,107.878787878787,80.6060606060606,295.757575757575,60,569.090909090909
"06075031400","14000US06075031400","Census Tract 314, San Francisco County, California","Census Tract 314, San Francisco County, California","ca","140","00","ACSSF","0018929",,,,,"06","075",,,,"031400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6220,390,198,87,268,746,177,4354,355.151515151515,140.60606060606,73.9393939393939,64.2424242424242,112.121212121212,282.424242424242,75.7575757575757,451.515151515151
"06075032600","14000US06075032600","Census Tract 326, San Francisco County, California","Census Tract 326, San Francisco County, California","ca","140","00","ACSSF","0018930",,,,,"06","075",,,,"032600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8842,581,519,374,350,259,432,6327,338.787878787878,234.545454545454,162.424242424242,172.727272727272,208.484848484848,98.1818181818182,175.757575757575,418.181818181818
"06075032700","14000US06075032700","Census Tract 327, San Francisco County, California","Census Tract 327, San Francisco County, California","ca","140","00","ACSSF","0018931",,,,,"06","075",,,,"032700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6683,251,246,111,73,141,31,5830,304.242424242424,79.3939393939394,89.0909090909091,76.3636363636363,50.9090909090909,68.4848484848484,30.3030303030303,370.90909090909
"06075032800","14000US06075032800","Census Tract 328, San Francisco County, California","Census Tract 328, San Francisco County, California","ca","140","00","ACSSF","0018932",,,,,"06","075",,,,"032800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8602,487,196,158,212,375,236,6938,567.272727272727,200,86.6666666666666,75.1515151515151,140.60606060606,118.181818181818,161.818181818181,407.272727272727
"06075032900","14000US06075032900","Census Tract 329, San Francisco County, California","Census Tract 329, San Francisco County, California","ca","140","00","ACSSF","0018933",,,,,"06","075",,,,"032900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9734,50,231,211,171,207,75,8789,458.181818181818,30.9090909090909,101.212121212121,86.060606060606,85.4545454545454,81.2121212121212,49.0909090909091,466.060606060606
"06075033000","14000US06075033000","Census Tract 330, San Francisco County, California","Census Tract 330, San Francisco County, California","ca","140","00","ACSSF","0018934",,,,,"06","075",,,,"033000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7700,165,59,257,120,232,0,6867,299.393939393939,62.4242424242424,30.9090909090909,94.5454545454545,52.7272727272727,122.424242424242,80,327.878787878787
"06075033100","14000US06075033100","Census Tract 331, San Francisco County, California","Census Tract 331, San Francisco County, California","ca","140","00","ACSSF","0018935",,,,,"06","075",,,,"033100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3922,25,64,100,7,37,56,3633,152.121212121212,13.9393939393939,27.8787878787878,35.1515151515151,6.66666666666666,29.6969696969697,33.9393939393939,169.696969696969
