X,Y,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,PdId
-122.416902807379003,37.77172349737539,160091997,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Sunday,01/31/2016,22:15,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 12TH ST,16009199727130.000000000000000
-122.416902807379003,37.77172349737539,160091997,WEAPON LAWS,POSS OF TEAR GAS WEAPON,Sunday,01/31/2016,22:15,SOUTHERN,"ARREST, BOOKED",HOWARD ST / 12TH ST,16009199712130.000000000000000
-122.453883253639006,37.774913598627698,166026372,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,22:00,PARK,NONE,2200 Block of FULTON ST,16602637206244.000000000000000
-122.443868417168005,37.7675350956209,166027267,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,22:00,PARK,NONE,BUENAVISTAWEST AV / FREDERICK ST,16602726706244.000000000000000
-122.443696904614995,37.718927976006,160091903,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,01/31/2016,21:57,INGLESIDE,"ARREST, BOOKED",GENEVA AV / CAYUGA AV,16009190365010.000000000000000
-122.390433665109995,37.75011802232639,160091834,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,01/31/2016,21:50,BAYVIEW,"ARREST, BOOKED",CESAR CHAVEZ ST / INDIANA ST,16009183465015.000000000000000
-122.401365059215991,37.7675143499416,160091862,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,01/31/2016,21:42,BAYVIEW,"ARREST, BOOKED",0 Block of 15TH ST,16009186228100.000000000000000
-122.407999186748981,37.777824167306392,160094941,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Sunday,01/31/2016,21:30,SOUTHERN,NONE,0 Block of MOSS ST,16009494105071.000000000000000
-122.425842162188985,37.760622005374294,160091947,OTHER OFFENSES,RESISTING ARREST,Sunday,01/31/2016,21:02,MISSION,"ARREST, BOOKED",500 Block of DOLORES ST,16009194727170.000000000000000
-122.392308546386985,37.77669227833249,166030997,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,01/31/2016,21:00,SOUTHERN,NONE,100 Block of BERRY ST,16603099706244.000000000000000
-122.420814723424016,37.761746182493596,160092020,VEHICLE THEFT,STOLEN TRUCK,Sunday,01/31/2016,21:00,MISSION,NONE,LEXINGTON ST / 18TH ST,16009202007025.000000000000000
